Date,GDP,New Housing Price Index,Housing Affordability Index,Population,Value of Building Permits,Number of Building Permits,Materials % Change,Avg Delinquency Rate,Avg New Mortgage Loan Value,Conversion Investment,New Construction Investment,Other Investment,Renovation Investment
2019-01-01,1743725183672.52,0,0.368,37336956,19536314,58929,0.2753,0.310222222,231681.2,608170686,20075505222,1892691691,16038947812
2020-01-01,1655684730000.19,0.5,0.365,37928208,22112368,64212,0.174,0.297111111,244106.888888889,578530140,22017484450,2193973451,16761513225
2021-01-01,2007472181464.15,6.8,0.359,38058291,24316105,71844,2.0724,0.244666667,277180.955555556,625155671,25181181105,2147627044,19616703414
2022-01-01,2161483369422.01,11.3,0.452,38566032,23328560,67311,1.6166,0.173777778,317107.333333333,669857994,27210055131,2461646760,23213436941
2023-01-01,2142470914401.36,1.4,0.501,39527986,22689960,57396,-0.3633,0.162888889,291496.533333333,764909309,28743531587,2620181892,22373166778
2024-01-01,,-0.5,0.518,40784356,23882525,60918,,0.192222222,299522.911111111,844406476,30047276509,2390424843,24106159781
2018-04-01,,1.1,0.368,36903671,23762160,114018,,0.310444444,245468.977777778,305249229,18202028658,1613673199,17230190385
2019-04-01,,0,0.353,37437243,27920193,119859,,0.304888889,235628.955555556,401584044,18007170024,1823677908,16217811072
2020-04-01,,1.1,0.317,38006941,17361911,71214,,0.296444444,254980.911111111,239160722,17466095582,1533606651,10225402591
2021-04-01,,11,0.384,38140918,33976451,159576,,0.214444444,300185.111111111,556826175,25527783318,2207113277,21291733752
2022-04-01,,8.5,0.511,38682424,35871466,120015,,0.158666667,326845.822222222,956757838,27036819638,2246164377,22075766642
2023-04-01,,-0.5,0.508,39748878,27666620,96435,,0.154444444,293158.666666667,736520493,25511756068,2394421569,22781811389
2024-04-01,,-0.1,0.506,41038370,43329608,111588,,0.197555556,310245.777777778,787682058,26239104027,2297111190,24326859387
2018-07-01,,0.4,0.371,37072620,28599024,141771,,0.309111111,254720.844444444,486600269,22599077199,1966449164,23158407098
2019-07-01,,-0.3,0.356,37618495,30103771,152640,,0.300666667,249712.644444444,437774653,23634300846,2419569852,23442364602
2020-07-01,,2.4,0.332,38028638,28557671,159063,,0.292222222,272138.244444444,501555117,24309839263,2268706650,23421409836
2021-07-01,,11.8,0.394,38239864,33477556,132960,,0.194444444,323489.444444444,1061405098,29887866558,2435368185,27810048665
2022-07-01,,6.9,0.513,38935934,34916290,124500,,0.156,335444.666666667,872685885,34028330685,2631902834,32885687551
2023-07-01,,-0.9,0.549,40083484,36468873,113844,,0.157777778,315399.555555556,832115329,30940645314,2728963579,29752150949
2024-07-01,,0.1,0.488,41288599,42691863,118845,,0.205111111,328544.755555556,1193035551,31457679635,2603408230,33525768777
2018-10-01,,0,0.373,37259485,27801840,117900,,0.317555556,247360.466666667,434672094,22206052740,2137422654,20497002468
2019-10-01,,0,0.364,37828162,28459641,120651,,0.300888889,248164.088888889,490480215,24089891941,2346389816,20811285578
2020-10-01,,4.4,0.357,38027406,28377882,128028,,0.245333333,280092.711111111,562388181,25614743639,2251586899,22638805941
2021-10-01,,11.6,0.417,38446871,32932389,112713,,0.183333333,312509.222222222,927681420,28908492735,2383771910,24659099617
2022-10-01,,4.4,0.503,39279501,27521854,93036,,0.161111111,303625,1069455168,33287479539,2610591788,27214669572
2023-10-01,,-0.8,0.547,40513781,32724411,99747,,0.177111111,308008.6,861921662,33392732846,2640411697,28038539253
